"SerialNo","ReadingDate","Current Main","Import Wh Total","THD Voltage Main Minimum","Current Main Maximum","Phase Angle Main","Current Main Avg","THD Current Main Minimum","Current Main Minimum","Voltage Main","Voltage Main Maximum","Active Power Total (Watts)","THD Voltage Main Maximum","THD Current Main Average","Apparant Power Total (VA)","THD Voltage Main","Reactive Power Total (vars)","Voltage Main Minimum","THD Current Main Maximum","Export Wh Total"
 212175506 ,"17/01/2014 14:00:00",, 0 , 2.417 , 0.106 ,,, 50.581 , 0.057 ,, 248.513 , 0 , 29.29 ,, 0.015 ,,-0.015 , 243.823 , 132.297 , 0 
 212175506 ,"17/01/2014 14:10:00",, 0 , 2.78 , 0.087 ,,, 82.156 , 0.068 ,, 249.698 , 0 , 5.779 ,, 0.015 ,,-0.015 , 240.381 , 126.804 , 0 
 212175506 ,"17/01/2014 14:20:00",, 0.001 , 2.593 , 0.083 ,,, 80.508 , 0.068 ,, 250.306 , 0 , 5.812 ,, 0.015 ,,-0.015 , 242.834 , 121.168 , 0 
 212175506 ,"17/01/2014 14:30:00",, 0.001 , 2.845 , 0.087 ,,, 83.397 , 0.068 ,, 249.348 , 0 , 6.218 ,, 0.015 ,,-0.015 , 241.03 , 125.969 , 0 
 212175506 ,"17/01/2014 14:40:00",, 0 , 2.505 , 0.083 ,,, 75.223 , 0.068 ,, 251.182 , 0 , 5.856 ,, 0.015 ,,-0.015 , 242.401 , 122.377 , 0 
 212175506 ,"17/01/2014 14:50:00",, 0.001 , 2.428 , 0.087 ,,, 81.255 , 0.068 ,, 251.615 , 0 , 5.845 ,, 0.015 ,,-0.015 , 240.958 , 123.179 , 0 
 212175506 ,"17/01/2014 15:00:00",, 0.001 , 2.318 , 0.083 ,,, 76.3 , 0.068 ,, 249.049 , 0 , 5.493 ,, 0.015 ,,-0.015 , 242.267 , 117.213 , 0 
 212175506 ,"17/01/2014 15:10:00",, 0.001 , 2.428 , 0.083 ,,, 77.322 , 0.064 ,, 248.338 , 0 , 5.339 ,, 0.015 ,,-0.015 , 239.505 , 120.729 , 0 
 212175506 ,"17/01/2014 15:20:00",, 0 , 2.615 , 0.087 ,,, 77.465 , 0.064 ,, 248.977 , 0 , 5.988 ,, 0.015 ,,-0.015 , 239.464 , 121.937 , 0 
 212175506 ,"17/01/2014 15:30:00",, 0.001 , 2.12 , 0.087 ,,, 80.848 , 0.064 ,, 247.4 , 0 , 5.713 ,, 0.015 ,,-0.015 , 238.423 , 125.387 , 0 
 212175506 ,"17/01/2014 15:40:00",, 0.001 , 2.23 , 0.087 ,,, 80.002 , 0.068 ,, 247.4 , 0 , 6.273 ,, 0.015 ,,-0.015 , 237.815 , 127.408 , 0 
 212175506 ,"17/01/2014 15:50:00",, 0 , 2.142 , 0.087 ,,, 75.103 , 0.064 ,, 246.039 , 0 , 6.636 ,, 0.015 ,,-0.015 , 237.547 , 131.495 , 0 
 212175506 ,"17/01/2014 16:00:00",, 0.001 , 2.241 , 0.087 ,,, 78.673 , 0.068 ,, 246.05 , 0 , 6.339 ,, 0.015 ,,-0.015 , 236.732 , 125.266 , 0 
 212175506 ,"17/01/2014 16:10:00",, 0.001 , 2.714 , 0.083 ,,, 83.815 , 0.068 ,, 244.792 , 0 , 6.251 ,, 0.015 ,,-0.015 , 233.62 , 124.794 , 0 
 212175506 ,"17/01/2014 16:20:00",, 0.001 , 2.626 , 0.087 ,,, 81.606 , 0.068 ,, 244.308 , 0 , 6.218 ,, 0.015 ,,-0.015 , 236.269 , 126.98 , 0 
 212175506 ,"17/01/2014 16:30:00",, 0 , 2.637 , 0.087 ,,, 82.771 , 0.068 ,, 247.596 , 0 , 6.229 ,, 0.015 ,,-0.015 , 235.63 , 127.024 , 0 
 212175506 ,"17/01/2014 16:40:00",, 0.001 , 2.867 , 0.087 ,,, 87.737 , 0.068 ,, 248.606 , 0 , 6.284 ,, 0.015 ,,-0.015 , 239.134 , 125.98 , 0 
