"SerialNo","ReadingDate","Import Wh Total","Q3 Wh Total","Current Main Maximum","Current Main Minimum","Signal Strength","Voltage Main Maximum","Q1 Wh Total","Voltage Total","System Frequency","Q4 Wh Total","Apparant Power Total (VA)","Voltage Main Minimum","Q2 Wh Total","Export Wh Total"
 212175566 ,"07/04/2013 12:40:00",, 0 , 0.098 , 0 , 10.942 , 247.925 , 0 , 247.266 , 49.949 , 0 , 0 , 246.74 , 0 ,
 212175566 ,"07/04/2013 12:50:00",, 0 , 0 , 0 , 12.942 , 248.214 , 0 , 247.781 , 50.004 , 0 , 0 , 247.214 , 0 ,
 212175566 ,"07/04/2013 13:00:00", 0 , 0 , 0 , 0 , 12.799 , 248.843 , 0 , 247.977 , 50.004 , 0 , 0 , 247.4 , 0 , 0 
 212175566 ,"07/04/2013 13:10:00",, 0 , 0.045 , 0 , 12.601 , 248.564 , 0 , 247.925 , 49.949 , 0 , 0 , 247.245 , 0 ,
 212175566 ,"07/04/2013 13:20:00",, 0 , 0 , 0 , 12.601 , 249.214 , 0 , 248.369 , 50.008 , 0 , 0 , 247.41 , 0 ,
 212175566 ,"07/04/2013 13:30:00", 0 , 0 , 0 , 0 , 12.733 , 249.152 , 0 , 248.575 , 49.984 , 0 , 0 , 247.894 , 0 , 0 
 212175566 ,"07/04/2013 13:40:00",, 0 , 0 , 0 , 12.887 , 249.379 , 0 , 248.76 , 49.98 , 0 , 0 , 248.008 , 0 ,
 212175566 ,"07/04/2013 13:50:00",, 0 , 0 , 0 , 12.777 , 249.626 , 0 , 249.069 , 50.008 , 0 , 0 , 248.379 , 0 ,
 212175566 ,"07/04/2013 14:00:00", 0 , 0 , 0 , 0 , 12.294 , 249.739 , 0 , 249.1 , 50.02 , 0 , 0 , 248.173 , 0 , 0 
 212175566 ,"07/04/2013 14:10:00",, 0 , 0.076 , 0 , 12.678 , 249.595 , 0 , 249.028 , 49.945 , 0 , 0 , 248.266 , 0 ,
 212175566 ,"07/04/2013 14:20:00",, 0 , 0 , 0 , 12.997 , 250.049 , 0 , 249.337 , 49.98 , 0 , 0 , 248.513 , 0 ,
 212175566 ,"07/04/2013 14:30:00", 0 , 0 , 0 , 0 , 13.041 , 249.853 , 0 , 249.265 , 49.965 , 0 , 0 , 248.626 , 0 , 0 
 212175566 ,"07/04/2013 14:40:00",, 0 , 0 , 0 , 13.041 , 250.162 , 0 , 249.348 , 49.992 , 0 , 0 , 248.575 , 0 ,
 212175566 ,"07/04/2013 14:50:00",, 0 , 0 , 0 , 13.096 , 250.079 , 0 , 248.266 , 49.969 , 0 , 0 , 247.194 , 0 ,
 212175566 ,"07/04/2013 15:00:00", 0 , 0 , 0 , 0 , 13.14 , 248.183 , 0 , 247.719 , 49.949 , 0 , 0 , 247.204 , 0 , 0 
 212175566 ,"07/04/2013 15:10:00",, 0 , 0.053 , 0 , 12.788 , 248.503 , 0 , 247.822 , 49.973 , 0 , 0 , 247.07 , 0 ,
 212175566 ,"07/04/2013 15:20:00",, 0 , 0 , 0 , 12.887 , 248.554 , 0 , 247.936 , 49.98 , 0 , 0 , 247.379 , 0 ,
 212175566 ,"07/04/2013 15:30:00", 0 , 0 , 0 , 0 , 12.942 , 248.667 , 0 , 248.049 , 50.055 , 0 , 0 , 247.101 , 0 , 0 
 212175566 ,"07/04/2013 15:40:00",, 0 , 0.076 , 0 , 13.03 , 248.894 , 0 , 247.853 , 50.012 , 0 , 0 , 247.183 , 0 ,
 212175566 ,"07/04/2013 15:50:00",, 0 , 0 , 0 , 13.008 , 248.915 , 0 , 248.255 , 50.004 , 0 , 0 , 247.482 , 0 ,
 212175566 ,"07/04/2013 16:00:00", 0 , 0 , 0 , 0 , 13.14 , 248.76 , 0 , 248.08 , 50.012 , 0 , 0 , 247.462 , 0 , 0 
 212175566 ,"07/04/2013 16:10:00",, 0 , 0.049 , 0 , 12.887 , 248.595 , 0 , 247.956 , 50.012 , 0 , 0 , 247.348 , 0 ,
 212175566 ,"07/04/2013 16:20:00",, 0 , 0 , 0 , 12.997 , 248.905 , 0 , 248.142 , 50.02 , 0 , 0 , 247.42 , 0 ,
 212175566 ,"07/04/2013 16:30:00", 0 , 0 , 0 , 0 , 13.096 , 248.616 , 0 , 247.75 , 50.02 , 0 , 0 , 247.163 , 0 , 0 
 212175566 ,"07/04/2013 16:40:00",, 0 , 0 , 0 , 13.03 , 248.296 , 0 , 247.503 , 49.961 , 0 , 0 , 246.689 , 0 ,
 212175566 ,"07/04/2013 16:50:00",, 0 , 0 , 0 , 12.898 , 248.533 , 0 , 247.781 , 50.031 , 0 , 0 , 247.049 , 0 ,
 212175566 ,"07/04/2013 17:00:00", 0 , 0 , 0 , 0 , 12.975 , 248.132 , 0 , 247.451 , 50 , 0 , 0 , 246.75 , 0 , 0 
 212175566 ,"07/04/2013 17:10:00",, 0 , 0.076 , 0 , 13.008 , 248.307 , 0 , 247.348 , 50.012 , 0 , 0 , 246.452 , 0 ,
 212175566 ,"07/04/2013 17:20:00",, 0 , 0 , 0 , 13.129 , 247.967 , 0 , 247.41 , 49.996 , 0 , 0 , 246.75 , 0 ,
 212175566 ,"07/04/2013 17:30:00", 0 , 0 , 0 , 0 , 13.162 , 248.296 , 0 , 247.791 , 50.055 , 0 , 0 , 247.111 , 0 , 0 
 212175566 ,"07/04/2013 17:40:00",, 0 , 0 , 0 , 13.195 , 248.451 , 0 , 247.668 , 49.992 , 0 , 0 , 246.926 , 0 ,
 212175566 ,"07/04/2013 17:50:00",, 0 , 0 , 0 , 13.096 , 248.441 , 0 , 247.606 , 50.047 , 0 , 0 , 246.957 , 0 ,
 212175566 ,"07/04/2013 18:00:00", 0 , 0 , 0 , 0 , 13.096 , 247.853 , 0 , 247.204 , 50.035 , 0 , 0 , 246.73 , 0 , 0 
 212175566 ,"07/04/2013 18:10:00",, 0 , 0.049 , 0 , 12.997 , 247.348 , 0 , 246.678 , 49.992 , 0 , 0 , 245.854 , 0 ,
 212175566 ,"07/04/2013 18:20:00",, 0 , 0 , 0 , 13.14 , 247.338 , 0 , 246.565 , 49.977 , 0 , 0 , 245.833 , 0 ,
 212175566 ,"07/04/2013 18:30:00", 0 , 0 , 0 , 0 , 13.271 , 247.194 , 0 , 246.544 , 49.984 , 0 , 0 , 245.648 , 0 , 0 
 212175566 ,"07/04/2013 18:40:00",, 0 , 0.076 , 0 , 11.678 , 246.689 , 0 , 245.895 , 49.945 , 0 , 0 , 245.256 , 0 ,
 212175566 ,"07/04/2013 18:50:00",, 0 , 0 , 0 , 13.14 , 246.668 , 0 , 245.792 , 49.973 , 0 , 0 , 244.885 , 0 ,
 212175566 ,"07/04/2013 19:00:00", 0 , 0 , 0 , 0 , 13.096 , 246.565 , 0 , 245.575 , 49.949 , 0 , 0 , 244.184 , 0 , 0 
 212175566 ,"07/04/2013 19:10:00",, 0 , 0.045 , 0 , 13.293 , 247.451 , 0 , 246.534 , 50.012 , 0 , 0 , 245.555 , 0 ,
 212175566 ,"07/04/2013 19:20:00",, 0 , 0 , 0 , 13.14 , 247.523 , 0 , 246.647 , 49.98 , 0 , 0 , 245.751 , 0 ,
 212175566 ,"07/04/2013 19:30:00", 0 , 0 , 0.083 , 0 , 13.195 , 248.41 , 0 , 247.523 , 50.102 , 0 , 0 , 246.781 , 0 , 0 
 212175566 ,"07/04/2013 19:40:00",, 0 , 0 , 0 , 13.381 , 247.905 , 0 , 246.853 , 50 , 0 , 0 , 246.05 , 0 ,
 212175566 ,"07/04/2013 19:50:00",, 0 , 0 , 0 , 13.008 , 247.915 , 0 , 247.152 , 50.051 , 0 , 0 , 245.947 , 0 ,
 212175566 ,"07/04/2013 20:00:00", 0 , 0 , 0 , 0 , 12.942 , 247.41 , 0 , 246.503 , 50.047 , 0 , 0 , 245.854 , 0 , 0 
 212175566 ,"07/04/2013 20:10:00",, 0 , 0.076 , 0 , 13.129 , 247.76 , 0 , 246.781 , 49.977 , 0 , 0 , 245.874 , 0 ,
 212175566 ,"07/04/2013 20:20:00",, 0 , 0 , 0 , 13.304 , 248.554 , 0 , 247.657 , 50.012 , 0 , 0 , 246.853 , 0 ,
 212175566 ,"07/04/2013 20:30:00", 0 , 0 , 0 , 0 , 13.447 , 248.905 , 0 , 248.317 , 50.055 , 0 , 0 , 247.616 , 0 , 0 
 212175566 ,"07/04/2013 20:40:00",, 0 , 0 , 0 , 13.689 , 249.42 , 0 , 248.801 , 50.055 , 0 , 0 , 247.894 , 0 ,
 212175566 ,"07/04/2013 20:50:00",, 0 , 0 , 0 , 13.513 , 249.142 , 0 , 247.709 , 50.012 , 0 , 0 , 246.853 , 0 ,
 212175566 ,"07/04/2013 21:00:00", 0 , 0 , 0 , 0 , 13.502 , 248.533 , 0 , 248.049 , 50 , 0 , 0 , 247.554 , 0 , 0 
