"SerialNo","ReadingDate","Import Wh Total","THD Voltage Main Minimum","Q3 Wh Total","Current Main Maximum","THD Current Main Minimum","Current Main Minimum","Voltage Main Maximum","Signal Strength","Q1 Wh Total","Voltage Total","Active Power Total (Watts)","System Frequency","THD Voltage Main Maximum","Q4 Wh Total","Apparant Power Total (VA)","Reactive Power Total (vars)","Voltage Main Minimum","Q2 Wh Total","THD Current Main Maximum","Export Wh Total"
 212175586 ,"26/02/2013 14:30:00", 0 ,, 0 , 1.893 ,, 0 , 250.78 , 9.8 , 0 , 246.256 ,, 50.012 ,, 0 , 0.01 ,, 0 , 0 ,, 0 
 212175586 ,"26/02/2013 14:40:00",,, 0 , 0.11 ,, 0 , 249.781 , 17.919 , 0 , 248.07 ,, 50.016 ,, 0.001 , 0.01 ,, 242.051 , 0 ,,
 212175586 ,"26/02/2013 14:50:00",,, 0 , 0.321 ,, 0.038 , 250.018 , 18.347 , 0 , 247.503 ,, 50.035 ,, 0.001 , 0.01 ,, 245.091 , 0 ,,
 212175586 ,"26/02/2013 15:00:00", 0.003 ,, 0 , 0.193 ,, 0.038 , 249.564 , 20.193 , 0 , 247.833 ,, 50.016 ,, 0.001 , 0.005 ,, 245.421 , 0 ,, 0 
 212175586 ,"26/02/2013 15:10:00",,, 0 , 0.181 ,, 0 , 249.75 , 20.138 , 0 , 247.4 ,, 50.043 ,, 0 , 0.005 ,, 244.535 , 0 ,,
 212175586 ,"26/02/2013 15:20:00",,, 0 , 0.053 ,, 0.038 , 248.966 , 20.599 , 0 , 247.132 ,, 50.023 ,, 0.001 , 0.005 ,, 243.772 , 0 ,,
 212175586 ,"26/02/2013 15:30:00", 0.002 ,, 0 , 0.053 ,, 0.042 , 246.823 , 20.446 , 0 , 245.575 ,, 50.02 ,, 0.001 , 0.01 ,, 244.184 , 0 ,, 0 
 212175586 ,"26/02/2013 15:40:00",,, 0 , 0.053 ,, 0.038 , 246.493 , 20.533 , 0 , 244.586 ,, 49.934 ,, 0.001 , 0.005 ,, 242.092 , 0 ,,
 212175586 ,"26/02/2013 15:50:00",,, 0 , 0.057 ,, 0.042 , 246.328 , 20.303 , 0 , 245.225 ,, 50.02 ,, 0.001 , 0.01 ,, 243.7 , 0 ,,
 212175586 ,"26/02/2013 16:00:00", 0.002 ,, 0 , 0.087 ,, 0.042 , 246.245 , 19.94 , 0 , 244.38 ,, 49.973 ,, 0 , 0.01 ,, 242.061 , 0 ,, 0 
 212175586 ,"26/02/2013 16:10:00",,, 0 , 0.053 ,, 0.038 , 246.421 , 20.281 , 0 , 245.153 ,, 50.063 ,, 0.001 , 0.005 ,, 243.658 , 0 ,,
 212175586 ,"26/02/2013 16:20:00",,, 0 , 0.057 ,, 0.042 , 245.617 , 20.435 , 0 , 244.658 ,, 50.035 ,, 0.001 , 0.01 ,, 242.896 , 0 ,,
 212175586 ,"26/02/2013 16:30:00", 0.003 ,, 0 , 0.057 ,, 0.038 , 246.503 , 20.281 , 0 , 244.813 ,, 50.043 ,, 0.001 , 0.005 ,, 243.226 , 0 ,, 0 
 212175586 ,"26/02/2013 16:40:00",,, 0 , 0.057 ,, 0.042 , 249.276 , 20.391 , 0 , 245.194 ,, 49.969 ,, 0 , 0.005 ,, 243.133 , 0 ,,
 212175586 ,"26/02/2013 16:50:00",,, 0 , 0.053 ,, 0.038 , 249.616 , 20.479 , 0 , 242.834 ,, 50.031 ,, 0.001 , 0.005 ,, 239.618 , 0 ,,
 212175586 ,"26/02/2013 17:00:00", 0.002 ,, 0 , 0.057 ,, 0.038 , 244.741 , 20.621 , 0 , 242.885 ,, 50.023 ,, 0.001 , 0.005 ,, 240.742 , 0 ,, 0 
 212175586 ,"26/02/2013 17:10:00",,, 0 , 0.144 ,, 0.038 , 244.782 , 20.402 , 0 , 243.329 ,, 50.043 ,, 0.001 , 0.01 ,, 241.288 , 0 ,,
 212175586 ,"26/02/2013 17:20:00",,, 0 , 0.321 ,, 0.042 , 244.545 , 20.347 , 0 , 242.02 ,, 50.012 ,, 0 , 0.005 ,, 238.732 , 0 ,,
 212175586 ,"26/02/2013 17:30:00", 0.002 ,, 0 , 0.076 ,, 0.038 , 241.37 , 20.413 , 0 , 240.041 ,, 49.973 ,, 0.001 , 0.005 ,, 238.175 , 0 ,, 0 
 212175586 ,"26/02/2013 17:40:00",,, 0 , 0.106 ,, 0.042 , 239.814 , 20.435 , 0 , 238.134 ,, 50.016 ,, 0.001 , 0.005 ,, 235.32 , 0 ,,
 212175586 ,"26/02/2013 17:50:00",,, 0 , 0.057 ,, 0.038 , 241.989 , 20.281 , 0 , 238.66 ,, 49.961 ,, 0.001 , 0.005 ,, 235.805 , 0 ,,
 212175586 ,"26/02/2013 18:00:00", 0.002 ,, 0 , 0.06 ,, 0.038 , 242.061 , 20.358 , 0 , 240.577 ,, 50.051 ,, 0 , 0.005 ,, 238.897 , 0 ,, 0 
 212175586 ,"26/02/2013 18:10:00",,, 0 , 0.06 ,, 0.038 , 241.515 , 20.446 , 0 , 240.185 ,, 50.004 ,, 0.001 , 0.005 ,, 237.99 , 0 ,,
 212175586 ,"26/02/2013 18:20:00",,, 0 , 0.06 ,, 0.042 , 241.958 , 20.643 , 0 , 239.763 ,, 50.004 ,, 0.001 , 0.005 ,, 237.639 , 0 ,,
 212175586 ,"26/02/2013 18:30:00", 0.003 ,, 0 , 0.06 ,, 0.042 , 240.618 , 20.489 , 0 , 239.608 ,, 50.016 ,, 0.001 , 0.01 ,, 238.134 , 0 ,, 0 
 212175586 ,"26/02/2013 18:40:00",,, 0 , 0.06 ,, 0.042 , 241.319 , 20.358 , 0 , 239.598 ,, 50.043 ,, 0 , 0.005 ,, 237.794 , 0 ,,
 212175586 ,"26/02/2013 18:50:00",,, 0 , 0.06 ,, 0.042 , 240.309 , 20.632 , 0 , 239.01 ,, 50.008 ,, 0.001 , 0.005 ,, 237.32 , 0 ,,
 212175586 ,"26/02/2013 19:00:00", 0.002 ,, 0 , 0.079 ,, 0.042 , 242.082 , 20.588 , 0 , 239.917 ,, 50.039 ,, 0.001 , 0.01 ,, 236.64 , 0 ,, 0 
 212175586 ,"26/02/2013 19:10:00",,, 0 , 0.06 ,, 0.042 , 243.256 , 20.435 , 0 , 240.865 ,, 49.984 ,, 0.001 , 0.01 ,, 238.361 , 0 ,,
 212175586 ,"26/02/2013 19:20:00",,, 0 , 0.06 ,, 0.042 , 242.216 , 20.402 , 0 , 239.69 ,, 50.051 ,, 0 , 0.01 ,, 236.774 , 0 ,,
 212175586 ,"26/02/2013 19:30:00", 0.002 ,, 0 , 0.06 ,, 0.042 , 239.072 , 20.105 , 0 , 237.124 ,, 50.051 ,, 0.001 , 0.005 ,, 234.784 , 0 ,, 0 
 212175586 ,"26/02/2013 19:40:00",,, 0 , 0.06 ,, 0.042 , 240.505 , 20.325 , 0 , 238.866 ,, 50.051 ,, 0.001 , 0.005 ,, 234.805 , 0 ,,
 212175586 ,"26/02/2013 19:50:00",,, 0 , 0.06 ,, 0.042 , 241.855 , 20.402 , 0 , 240.144 ,, 50.047 ,, 0.001 , 0.005 ,, 238.423 , 0 ,,
 212175586 ,"26/02/2013 20:00:00", 0.002 ,, 0 , 0.06 ,, 0.038 , 242.102 , 20.446 , 0 , 239.773 ,, 50.055 ,, 0 , 0.005 ,, 236.33 , 0 ,, 0 
 212175586 ,"26/02/2013 20:10:00",,, 0 , 0.06 ,, 0.038 , 240.268 , 20.149 , 0 , 237.567 ,, 49.98 ,, 0.001 , 0.005 ,, 233.537 , 0 ,,
 212175586 ,"26/02/2013 20:20:00",,, 0 , 0.057 ,, 0.042 , 242.741 , 20.028 , 0 , 240 ,, 49.941 ,, 0.001 , 0.005 ,, 238.01 , 0 ,,
 212175586 ,"26/02/2013 20:30:00", 0.003 ,, 0 , 0.076 ,, 0.038 , 243.875 , 19.863 , 0 , 242.71 ,, 50.012 ,, 0.001 , 0.005 ,, 241.154 , 0 ,, 0 
 212175586 ,"26/02/2013 20:40:00",,, 0 , 0.098 ,, 0.038 , 241.958 , 18.16 , 0 , 239.938 ,, 50.047 ,, 0 , 0.01 ,, 237.804 , 0 ,,
 212175586 ,"26/02/2013 20:50:00",,, 0 , 0.06 ,, 0.038 , 241.288 , 20.654 , 0 , 238.083 ,, 50.055 ,, 0.001 , 0.005 ,, 235.279 , 0 ,,
 212175586 ,"26/02/2013 21:00:00", 0.002 ,, 0 , 0.06 ,, 0.042 , 240.226 , 20.226 , 0 , 238.856 ,, 50.066 ,, 0.001 , 0.01 ,, 237.258 , 0 ,, 0 
 212175586 ,"26/02/2013 21:10:00",,, 0 , 0.06 ,, 0.038 , 242.246 , 20.314 , 0 , 239.814 ,, 49.945 ,, 0 , 0.005 ,, 237.444 , 0 ,,
 212175586 ,"26/02/2013 21:20:00",,, 0 , 0.057 ,, 0.042 , 242.391 , 20.039 , 0 , 240.948 ,, 49.988 ,, 0.001 , 0.005 ,, 239.309 , 0 ,,
 212175586 ,"26/02/2013 21:30:00", 0.002 ,, 0 , 0.057 ,, 0.038 , 242.937 , 20.731 , 0 , 241.133 ,, 50.02 ,, 0.001 , 0.005 ,, 239.196 , 0 ,, 0 
 212175586 ,"26/02/2013 21:40:00",,, 0 , 0.06 ,, 0.038 , 242.813 , 20.061 , 0 , 241.329 ,, 50.043 ,, 0.001 , 0.005 ,, 239.907 , 0 ,,
 212175586 ,"26/02/2013 21:50:00",,, 0 , 0.057 ,, 0.042 , 243.576 , 20.391 , 0 , 241.061 ,, 50.035 ,, 0 , 0.005 ,, 237.856 , 0 ,,
 212175586 ,"26/02/2013 22:00:00", 0.002 ,, 0 , 0.057 ,, 0.038 , 243.442 , 20.446 , 0 , 241.546 ,, 49.984 ,, 0.001 , 0.005 ,, 239.433 , 0 ,, 0 
 212175586 ,"26/02/2013 22:10:00",,, 0 , 0.106 ,, 0.038 , 244.998 , 17.084 , 0 , 243.112 ,, 50.008 ,, 0.001 , 0.005 ,, 240.968 , 0 ,,
 212175586 ,"26/02/2013 22:20:00",,, 0 , 0.06 ,, 0.038 , 245.194 , 20.533 , 0 , 241.587 ,, 50.035 ,, 0.001 , 0.005 ,, 234.857 , 0 ,,
 212175586 ,"26/02/2013 22:30:00", 0.002 ,, 0 , 0.057 ,, 0.038 , 243.184 , 20.533 , 0 , 241.607 ,, 50.082 ,, 0 , 0.005 ,, 238.99 , 0 ,, 0 
 212175586 ,"26/02/2013 22:40:00",,, 0 , 0.057 ,, 0.038 , 245.421 , 20.479 , 0 , 243.339 ,, 50.074 ,, 0.001 , 0.005 ,, 238.753 , 0 ,,
 212175586 ,"26/02/2013 22:50:00",,, 0 , 0.057 ,, 0.038 , 246.091 , 20.435 , 0 , 243.741 ,, 50 ,, 0.001 , 0.005 ,, 240.742 , 0 ,,
 212175586 ,"26/02/2013 23:00:00", 0.003 ,, 0 , 0.06 ,, 0.038 , 245.359 , 20.479 , 0 , 243.339 ,, 50.02 ,, 0.001 , 0.005 ,, 239.556 , 0 ,, 0 
 212175586 ,"26/02/2013 23:10:00",,, 0 , 0.068 ,, 0.042 , 242.556 , 20.676 , 0 , 240.783 ,, 49.945 ,, 0 , 0.01 ,, 238.732 , 0 ,,
 212175586 ,"26/02/2013 23:20:00",,, 0 , 0.057 ,, 0.042 , 244.648 , 19.929 , 0 , 243.494 ,, 49.965 ,, 0.001 , 0.005 ,, 241.834 , 0 ,,
 212175586 ,"26/02/2013 23:30:00", 0.002 ,, 0 , 0.057 ,, 0.038 , 243.978 , 19.819 , 0 , 243.112 ,, 50.004 ,, 0.001 , 0.005 ,, 242.04 , 0 ,, 0 
 212175586 ,"26/02/2013 23:40:00",,, 0 , 0.079 ,, 0.038 , 242.731 , 19.918 , 0 , 241.752 ,, 49.957 ,, 0.001 , 0.005 ,, 239.938 , 0 ,,
 212175586 ,"26/02/2013 23:50:00",,, 0 , 0.053 ,, 0.038 , 244.782 , 20.039 , 0 , 242.999 ,, 50.031 ,, 0 , 0.005 ,, 241.37 , 0 ,,
 212175586 ,27/02/2013 , 0.002 ,, 0 , 0.053 ,, 0.038 , 245.782 , 20.226 , 0 , 244.658 ,, 50.113 ,, 0.001 , 0.005 ,, 243.112 , 0 ,, 0 
 212175586 ,"27/02/2013 00:10:00",,, 0 , 0.057 ,, 0.042 , 246.761 , 20.369 , 0 , 245.452 ,, 49.996 ,, 0.001 , 0.01 ,, 244.05 , 0 ,,
 212175586 ,"27/02/2013 00:20:00",,, 0 , 0.057 ,, 0.042 , 246.936 , 20.347 , 0 , 245.586 ,, 49.949 ,, 0.001 , 0.01 ,, 244.091 , 0 ,,
 212175586 ,"27/02/2013 00:30:00", 0.002 ,, 0 , 0.057 ,, 0.038 , 247.091 , 20.083 , 0 , 244.978 ,, 49.984 ,, 0 , 0.005 ,, 242.751 , 0 ,, 0 
