"SerialNo","ReadingDate","THD Current Phase B","THD Voltage Phase C","Import Wh Total","Reactive Power Phase B (vars)","Active Power Phase C (Watts)","Voltage Phase A","Voltage PhaseA Maximum","THD Voltage Phase A","Voltage PhaseB Minimum","Active Power Phase A (Watts)","THD Current Phase C","Voltage PhaseA Minimum","THD Current Phase A","Voltage PhaseC Maximum","Voltage Phase B","Reactive Power Phase C (vars)","Active Power Phase B (Watts)","Voltage PhaseC Minimum","Voltage Phase C","THD Voltage Phase B","Reactive Power Phase A (vars)","Voltage PhaseB Maximum","Export Wh Total"
 212524143 ,"06/11/2013 13:30:00", 16.556 , 1.934 , 0 , 0.041 , 0 , 229.435 , 244.133 , 2.021 , 0 , 0 , 18.018 , 0 , 16.403 , 247.575 , 231.754 ,-0.082 , 0 , 0 , 232.012 , 2.395 , 0.041 , 253.089 , 0 
 212524143 ,"06/11/2013 13:40:00", 14.172 , 1.593 , 0 , 0.082 , 0 , 242.514 , 243.123 , 1.659 , 244.133 , 0 , 14.941 , 241.968 , 12.876 , 245.565 , 244.72 ,-0.123 , 0 , 244.401 , 244.967 , 1.967 , 0.082 , 245.431 , 0 
 212524143 ,"06/11/2013 13:50:00", 14.227 , 1.626 , 0 , 0.082 , 0 , 242.927 , 243.865 , 1.637 , 244.452 , 0 , 14.788 , 242.061 , 12.239 , 246.39 , 245.184 ,-0.123 , 0 , 244.339 , 245.514 , 1.989 , 0.082 , 246.101 , 0 
 212524143 ,"06/11/2013 14:00:00", 14.227 , 1.637 , 0 , 0.082 , 0 , 243.628 , 244.308 , 1.659 , 245.359 , 0 , 14.832 , 243.009 , 12.513 , 246.74 , 245.947 ,-0.123 , 0 , 245.514 , 246.256 , 1.978 , 0.082 , 246.4 , 0 
 212524143 ,"06/11/2013 14:10:00", 14.194 , 1.626 , 0 , 0.082 , 0 , 243.401 , 244.04 , 1.648 , 245.174 , 0 , 14.7 , 242.834 , 12.327 , 246.678 , 245.74 ,-0.123 , 0 , 245.318 , 246.019 , 2 , 0.082 , 246.328 , 0 
 212524143 ,"06/11/2013 14:20:00", 14.304 , 1.637 , 0 , 0.082 , 0 , 243.267 , 243.895 , 1.681 , 245.256 , 0 , 14.799 , 242.607 , 12.459 , 246.544 , 245.782 ,-0.123 , 0 , 245.369 , 245.977 , 2.043 , 0.082 , 246.431 , 0 
 212524143 ,"06/11/2013 14:30:00", 14.491 , 1.637 , 0 , 0.082 , 0 , 243.834 , 244.318 , 1.692 , 245.411 , 0 , 14.821 , 242.978 , 12.81 , 247.214 , 246.256 ,-0.123 , 0 , 245.493 , 246.534 , 2.054 , 0.082 , 246.895 , 0 
 212524143 ,"06/11/2013 14:40:00", 14.403 , 1.571 , 0 , 0.082 , 0 , 244.318 , 245.132 , 1.67 , 245.854 , 0 , 14.535 , 243.638 , 12.711 , 247.606 , 246.637 ,-0.123 , 0 , 246.276 , 246.957 , 2.043 , 0.082 , 247.359 , 0 
 212524143 ,"06/11/2013 14:50:00", 14.414 , 1.582 , 0 , 0.082 , 0 , 244.184 , 244.947 , 1.659 , 245.761 , 0 , 14.601 , 243.504 , 12.491 , 247.678 , 246.41 ,-0.123 , 0 , 245.782 , 246.689 , 2.054 , 0.082 , 247.07 , 0 
 212524143 ,"06/11/2013 15:00:00", 14.425 , 1.615 , 0 , 0.082 , 0 , 244.411 , 245.174 , 1.67 , 246.091 , 0 , 14.535 , 243.555 , 12.118 , 247.905 , 246.771 ,-0.123 , 0 , 246.132 , 246.957 , 2.087 , 0.082 , 247.523 , 0 
 212524143 ,"06/11/2013 15:10:00", 14.436 , 1.571 , 0 , 0.082 , 0 , 244.308 , 245.204 , 1.692 , 246.019 , 0 , 14.535 , 243.545 , 12.788 , 247.781 , 246.616 ,-0.123 , 0 , 245.668 , 246.72 , 2.032 , 0.082 , 247.503 , 0 
 212524143 ,"06/11/2013 15:20:00", 14.414 , 1.571 , 0 , 0.082 , 0 , 244.936 , 245.637 , 1.67 , 245.977 , 0 , 14.513 , 243.895 , 12.316 , 247.822 , 247.121 ,-0.123 , 0 , 245.854 , 247.183 , 2.043 , 0.082 , 247.936 , 0 
 212524143 ,"06/11/2013 15:30:00", 14.436 , 1.56 , 0 , 0.082 , 0 , 244.988 , 245.658 , 1.67 , 246.678 , 0 , 14.557 , 244.06 , 12.36 , 247.915 , 247.369 ,-0.123 , 0 , 246.421 , 247.338 , 2.032 , 0.082 , 247.894 , 0 
 212524143 ,"06/11/2013 15:40:00", 14.282 , 1.571 , 0 , 0.082 , 0 , 244.823 , 245.441 , 1.615 , 246.431 , 0 , 14.612 , 244.019 , 12.162 , 247.75 , 247.121 ,-0.123 , 0 , 246.184 , 247.163 , 2.021 , 0.082 , 247.626 , 0 
 212524143 ,"06/11/2013 15:50:00", 14.348 , 1.604 , 0 , 0.082 , 0 , 244.308 , 245.112 , 1.67 , 245.689 , 0 , 14.601 , 243.545 , 12.261 , 247.699 , 246.616 ,-0.123 , 0 , 245.947 , 246.843 , 2.054 , 0.082 , 247.359 , 0 
 212524143 ,"06/11/2013 16:00:00", 14.546 , 1.626 , 0 , 0.082 , 0 , 243.947 , 244.514 , 1.736 , 244.885 , 0 , 14.722 , 242.432 , 13.337 , 246.998 , 246.204 ,-0.123 , 0 , 245.246 , 246.524 , 2.065 , 0.082 , 246.792 , 0 
 212524143 ,"06/11/2013 16:10:00", 15.304 , 1.538 , 0 , 0.082 , 0 , 242.834 , 243.576 , 1.67 , 244.792 , 0 , 16.952 , 242.02 , 15.084 , 246.266 , 245.472 ,-0.123 , 0 , 244.885 , 245.514 , 1.813 , 0.082 , 246.091 , 0 
 212524143 ,"06/11/2013 16:20:00", 15.524 , 1.505 , 0 , 0.082 , 0 , 242.535 , 243.401 , 1.659 , 243.813 , 0 , 17.271 , 241.597 , 15.469 , 246.019 , 245.277 ,-0.123 , 0 , 244.256 , 245.4 , 1.791 , 0.082 , 245.864 , 0 
 212524143 ,"06/11/2013 16:30:00", 15.634 , 1.549 , 0 , 0.082 , 0 , 242.246 , 242.958 , 1.681 , 244.081 , 0 , 17.49 , 241.185 , 15.502 , 245.874 , 245.019 ,-0.123 , 0 , 243.751 , 244.906 , 1.769 , 0.082 , 245.73 , 0 
 212524143 ,"06/11/2013 16:40:00", 14.854 , 1.604 , 0 , 0.082 , 0 , 241.339 , 242.123 , 1.703 , 243.03 , 0 , 17.622 , 240.566 , 15.249 , 244.339 , 243.834 ,-0.123 , 0 , 243.123 , 243.803 , 1.769 , 0.082 , 244.607 , 0 
 212524143 ,"06/11/2013 16:50:00", 14.48 , 1.626 , 0 , 0.082 , 0 , 241.844 , 242.504 , 1.703 , 243.741 , 0 , 17.38 , 240.948 , 15.029 , 245.235 , 244.431 ,-0.123 , 0 , 243.895 , 244.648 , 1.78 , 0.082 , 245.122 , 0 
 212524143 ,"06/11/2013 17:00:00", 19.182 , 1.472 , 0 , 0.082 , 0 , 241.412 , 242.442 , 1.593 , 242.236 , 0 , 23.994 , 239.67 , 22.368 , 244.947 , 243.885 ,-0.123 , 0 , 242.659 , 244.133 , 1.637 , 0.082 , 244.813 , 0 
 212524143 ,"06/11/2013 17:10:00", 32.552 , 1.219 , 0 , 0.082 , 0 , 241.628 , 242.617 , 1.428 , 242.834 , 0 , 42.198 , 240.402 , 42.374 , 245.534 , 243.957 ,-0.123 , 0 , 243.133 , 244.452 , 1.34 , 0.082 , 245.06 , 0 
 212524143 ,"06/11/2013 17:20:00", 32.289 , 1.252 , 0 , 0.082 , 0 , 242.04 , 242.875 , 1.461 , 243.762 , 0 , 40.452 , 241.226 , 41.803 , 245.452 , 244.462 ,-0.123 , 0 , 243.792 , 244.802 , 1.34 , 0.082 , 245.091 , 0 
 212524143 ,"06/11/2013 17:30:00", 32.662 , 1.219 , 0 , 0.082 , 0 , 241.618 , 242.504 , 1.45 , 243.308 , 0 , 39.957 , 240.525 , 42.319 , 245.452 , 244.277 ,-0.123 , 0 , 243.494 , 244.431 , 1.318 , 0.082 , 245.153 , 0 
 212524143 ,"06/11/2013 17:40:00", 32.113 , 1.208 , 0 , 0.082 , 0 , 241.535 , 241.999 , 1.461 , 243.669 , 0 , 40.627 , 240.773 , 41.012 , 245.38 , 244.411 ,-0.123 , 0 , 243.679 , 244.576 , 1.285 , 0.082 , 245.07 , 0 
 212524143 ,"06/11/2013 17:50:00", 31.816 , 1.208 , 0 , 0.082 , 0 , 241.309 , 241.948 , 1.439 , 243.39 , 0 , 41.495 , 240.226 , 40.924 , 245.503 , 244.359 ,-0.123 , 0 , 243.421 , 244.679 , 1.318 , 0.082 , 244.947 , 0 
 212524143 ,"06/11/2013 18:00:00", 35.826 , 1.296 , 0 , 0.082 , 0 , 240.793 , 241.546 , 1.483 , 242.968 , 0 , 44.319 , 239.866 , 43.451 , 245.019 , 243.803 ,-0.123 , 0 , 243.545 , 244.431 , 1.329 , 0.082 , 244.607 , 0 
 212524143 ,"06/11/2013 18:10:00", 35.156 , 1.296 , 0 , 0.082 , 0 , 241.824 , 242.813 , 1.461 , 243.597 , 0 , 45.319 , 240.659 , 43.121 , 246.153 , 244.741 ,-0.123 , 0 , 244.153 , 245.122 , 1.329 , 0.082 , 245.617 , 0 
 212524143 ,"06/11/2013 18:20:00", 35.244 , 1.285 , 0 , 0.082 , 0 , 242.576 , 243.411 , 1.472 , 244.679 , 0 , 45.626 , 241.793 , 43.704 , 246.658 , 245.503 ,-0.123 , 0 , 244.823 , 245.823 , 1.329 , 0.082 , 246.276 , 0 
 212524143 ,"06/11/2013 18:30:00", 34.98 , 1.296 , 0 , 0.082 , 0 , 242.36 , 243.421 , 1.45 , 244.586 , 0 , 45.143 , 241.463 , 43.726 , 246.668 , 245.452 ,-0.123 , 0 , 244.926 , 245.761 , 1.34 , 0.082 , 246.359 , 0 
 212524143 ,"06/11/2013 18:40:00", 34.816 , 1.318 , 0 , 0.082 , 0 , 242.164 , 242.999 , 1.439 , 243.957 , 0 , 45.417 , 241.339 , 43.22 , 246.276 , 244.978 ,-0.123 , 0 , 244.833 , 245.606 , 1.329 , 0.082 , 246.06 , 0 
 212524143 ,"06/11/2013 18:50:00", 32.3 , 1.285 , 0 , 0.082 , 0 , 242.7 , 243.38 , 1.45 , 244.596 , 0 , 41.089 , 241.515 , 41.407 , 246.41 , 245.514 ,-0.123 , 0 , 245.029 , 245.905 , 1.329 , 0.082 , 246.39 , 0 
 212524143 ,"06/11/2013 19:00:00", 34.991 , 1.274 , 0 , 0.082 , 0 , 242.844 , 243.71 , 1.472 , 243.926 , 0 , 44.198 , 241.618 , 43.374 , 246.761 , 245.297 ,-0.123 , 0 , 244.349 , 245.895 , 1.307 , 0.082 , 246.297 , 0 
 212524143 ,"06/11/2013 19:10:00", 34.805 , 1.285 , 0 , 0.082 , 0 , 242.36 , 243.215 , 1.439 , 243.7 , 0 , 44.89 , 241.164 , 43.231 , 246.307 , 244.885 ,-0.123 , 0 , 244.38 , 245.514 , 1.307 , 0.082 , 245.761 , 0 
 212524143 ,"06/11/2013 19:20:00", 34.453 , 1.329 , 0 , 0.082 , 0 , 241.834 , 242.659 , 1.472 , 243.7 , 0 , 43.868 , 241.041 , 42.913 , 246.225 , 244.38 ,-0.123 , 0 , 244.205 , 245.132 , 1.34 , 0.082 , 246.05 , 0 
 212524143 ,"06/11/2013 19:30:00", 34.508 , 1.318 , 0 , 0.082 , 0 , 242.339 , 243.226 , 1.483 , 243.658 , 0 , 44.385 , 241.257 , 44.011 , 246.338 , 244.823 ,-0.123 , 0 , 244.504 , 245.586 , 1.362 , 0.082 , 245.575 , 0 
 212524143 ,"06/11/2013 19:40:00", 35.387 , 1.329 , 0 , 0.082 , 0 , 242.638 , 243.236 , 1.538 , 244.122 , 0 , 44.824 , 242.009 , 44.044 , 246.081 , 244.957 ,-0.123 , 0 , 244.442 , 245.328 , 1.329 , 0.082 , 245.524 , 0 
 212524143 ,"06/11/2013 19:50:00", 35.244 , 1.296 , 0 , 0.082 , 0 , 242.989 , 243.772 , 1.582 , 244.854 , 0 , 44.121 , 242.051 , 43.077 , 246.668 , 245.503 ,-0.123 , 0 , 244.854 , 245.813 , 1.373 , 0.082 , 246.204 , 0 
 212524143 ,"06/11/2013 20:00:00", 35.299 , 1.307 , 0 , 0.082 , 0 , 243.576 , 245.153 , 1.604 , 244.813 , 0 , 44.626 , 242.195 , 44.604 , 247.967 , 246.245 ,-0.123 , 0 , 245.328 , 246.709 , 1.384 , 0.082 , 247.647 , 0.01 
 212524143 ,"06/11/2013 20:10:00", 35.189 , 1.285 , 0 , 0.082 , 0 , 243.37 , 244.617 , 1.637 , 244.359 , 0 , 44.604 , 241.762 , 43.912 , 247.936 , 246.05 ,-0.123 , 0 , 244.71 , 246.379 , 1.362 , 0.082 , 247.616 , 0 
 212524143 ,"06/11/2013 20:20:00", 33.409 , 1.373 , 0 , 0.082 , 0 , 242.03 , 243.123 , 1.67 , 242.782 , 0 , 44.495 , 240.309 , 43.638 , 246.276 , 244.906 ,-0.123 , 0 , 243.401 , 245.287 , 1.45 , 0.082 , 246.008 , 0 
 212524143 ,"06/11/2013 20:30:00", 35.486 , 1.351 , 0 , 0.082 , 0 , 241.041 , 242.185 , 1.659 , 242.535 , 0 , 44.528 , 240.195 , 44.275 , 245.462 , 243.834 ,-0.123 , 0 , 243.463 , 244.535 , 1.494 , 0.082 , 244.658 , 0 
 212524143 ,"06/11/2013 20:40:00", 27.773 , 1.395 , 0 , 0.082 , 0 , 241.814 , 242.576 , 1.648 , 243.112 , 0 , 36.771 , 240.525 , 37.277 , 246.05 , 244.545 ,-0.123 , 0 , 244.163 , 245.38 , 1.549 , 0.082 , 245.256 , 0 
 212524143 ,"06/11/2013 20:50:00", 28.268 , 1.384 , 0 , 0.082 , 0 , 242.535 , 243.256 , 1.626 , 243.875 , 0 , 36.881 , 241.298 , 37.98 , 246.266 , 245.112 ,-0.123 , 0 , 244.473 , 245.73 , 1.527 , 0.082 , 245.709 , 0 
 212524143 ,"06/11/2013 21:00:00", 21.313 , 1.439 , 0 , 0.082 , 0 , 243.617 , 244.236 , 1.714 , 245.122 , 0 , 29.334 , 242.453 , 30.07 , 247.503 , 246.328 ,-0.123 , 0 , 245.792 , 246.812 , 1.593 , 0.082 , 247.008 , 0 
 212524143 ,"06/11/2013 21:10:00", 18.007 , 1.714 , 0 , 0.082 , 0 , 245.266 , 246.843 , 1.967 , 245.565 , 0 , 23.994 , 243.123 , 23.082 , 250.193 , 247.853 ,-0.123 , 0 , 246.493 , 248.503 , 1.879 , 0.082 , 249.306 , 0 
 212524143 ,"06/11/2013 21:20:00", 21.819 , 1.78 , 0 , 0.082 , 0 , 242.483 , 246.163 , 1.956 , 242.257 , 0 , 28.224 , 240.082 , 27.762 , 249.513 , 245.04 ,-0.123 , 0 , 244.184 , 245.957 , 1.934 , 0.082 , 248.544 , 0 
 212524143 ,"06/11/2013 21:30:00", 29.729 , 1.527 , 0 , 0.082 , 0 , 241.546 , 242.298 , 1.758 , 243.184 , 0 , 37.881 , 240.536 , 39.243 , 245.575 , 243.937 ,-0.123 , 0 , 243.782 , 244.813 , 1.648 , 0.082 , 244.596 , 0 
 212524143 ,"06/11/2013 21:40:00", 31.739 , 1.516 , 0 , 0.082 , 0 , 241.205 , 242.453 , 1.791 , 241.855 , 0 , 37.749 , 239.701 , 39.803 , 245.792 , 243.607 ,-0.123 , 0 , 242.855 , 244.504 , 1.582 , 0.082 , 244.71 , 0 
