"SerialNo","ReadingDate","Import Wh Total","THD Voltage Main Minimum","Q3 Wh Total","Current Main Maximum","THD Current Main Minimum","Current Main Minimum","Voltage Main Maximum","Signal Strength","Q1 Wh Total","Voltage Total","Active Power Total (Watts)","System Frequency","THD Voltage Main Maximum","Q4 Wh Total","Apparant Power Total (VA)","Reactive Power Total (vars)","Voltage Main Minimum","Q2 Wh Total","THD Current Main Maximum","Export Wh Total"
 212175499 ,"10/05/2013 11:10:00", 0 ,, 0 ,-358.989 ,, 203.741 , 235.485 , 3.252 , 0 , 0.185 ,, 354.99 ,,-0.001 , 0 ,, 236.908 , 0 ,, 0 
 212175499 ,"10/05/2013 11:20:00", 0 ,, 0 , 0 ,, 0 , 235.805 , 3.186 , 0 , 0 ,, 0 ,, 0 , 0 ,, 238.464 , 0 ,, 0 
 212175499 ,"10/05/2013 11:30:00", 0 ,, 0 , 0 ,, 0 , 238.072 , 3.186 , 0 , 0 ,, 0 ,, 0 , 0 ,, 239.103 , 0 ,, 0 
 212175499 ,"10/05/2013 11:40:00", 0 ,, 0 , 0 ,, 0 , 238.175 , 3.175 , 0 , 0 ,, 0 ,, 0 , 0 ,, 239.361 , 0 ,, 0 
 212175499 ,"10/05/2013 11:50:00", 0 ,, 0 , 0 ,, 0 , 237.928 , 3.098 , 0 , 0 ,, 0 ,, 0 , 0 ,, 240.051 , 0 ,, 0 
 212175499 ,"10/05/2013 12:00:00", 0 ,, 0 ,-336.379 ,, 43.385 , 235.094 , 3.12 , 0 , 0.098 ,, 330.172 ,, 0 , 0 ,, 239.247 , 0 ,, 0 
 212175499 ,"10/05/2013 12:10:00", 0 ,, 0 ,-71.093 ,, 0.099 , 239.927 , 3.153 , 0 , 0.049 ,, 0 ,, 0 , 0 ,, 240.845 , 0 ,, 0 
 212175499 ,"10/05/2013 12:20:00", 0 ,, 0 , 0 ,, 0 , 239.814 , 3.164 , 0 , 0 ,, 0 ,, 0 , 0 ,, 241.412 , 0 ,, 0 
 212175499 ,"10/05/2013 12:30:00", 0 ,, 0 , 0 ,, 0 , 237.712 , 3.164 , 0 , 0 ,, 0 ,, 0 , 0 ,, 239.773 , 0 ,, 0 
 212175499 ,"10/05/2013 12:40:00", 0 ,, 0 , 0 ,, 0 , 237.227 , 3.186 , 0 , 0 ,, 0 ,, 0 , 0 ,, 239.484 , 0 ,, 0 
 212175499 ,"10/05/2013 12:50:00", 0 ,, 0 , 0 ,, 0 , 239.412 , 3.164 , 0 , 0 ,, 0 ,, 0 , 0 ,, 240.536 , 0 ,, 0 
 212175499 ,"10/05/2013 13:00:00", 0 ,, 0 , 0 ,, 0 , 237.608 , 3.186 , 0 , 0 ,, 0 ,, 0 , 0 ,, 239.453 , 0 ,, 0 
 212175499 ,"10/05/2013 13:10:00", 0 ,, 0 , 0 ,, 0 , 238.454 , 3.186 , 0 , 0 ,, 0 ,, 0 , 0 ,, 239.113 , 0 ,, 0 
 212175499 ,"10/05/2013 13:20:00", 0 ,, 0 , 0 ,, 0 , 238.217 , 3.142 , 0 , 0 ,, 0 ,, 0 , 0 ,, 238.979 , 0 ,, 0 
 212175499 ,"10/05/2013 13:30:00", 0 ,, 0 ,-349.739 ,, 5.614 , 237.722 , 3.131 , 0 , 0.083 ,, 334.589 ,, 0 , 0 ,, 238.649 , 0 ,, 0 
 212175499 ,"10/05/2013 13:40:00", 0 ,, 0 , 0 ,, 0 , 237.846 , 3.219 , 0 , 0 ,, 0 ,, 0 , 0 ,, 238.608 , 0 ,, 0 
 212175499 ,"10/05/2013 13:50:00", 0 ,, 0 , 0 ,, 0 , 237.505 , 3.23 , 0 , 0 ,, 0 ,, 0 , 0 ,, 238.505 , 0 ,, 0 
 212175499 ,"10/05/2013 14:00:00", 0 ,, 0 , 0 ,, 0 , 237.773 , 3.23 , 0 , 0 ,, 0 ,, 0 , 0 ,, 238.577 , 0 ,, 0 
 212175499 ,"10/05/2013 14:10:00", 0 ,, 0 , 0 ,, 0 , 237.526 , 3.263 , 0 , 0 ,, 0 ,, 0 , 0 ,, 238.598 , 0 ,, 0 
 212175499 ,"10/05/2013 14:20:00", 0 ,, 0 , 0 ,, 0 , 237.547 , 3.241 , 0 , 0 ,, 0 ,, 0 , 0 ,, 238.711 , 0 ,, 0 
 212175499 ,"10/05/2013 14:30:00", 0 ,, 0 , 0 ,, 0 , 237.815 , 3.241 , 0 , 0 ,, 0 ,, 0 , 0 ,, 239.051 , 0 ,, 0 
 212175499 ,"10/05/2013 14:40:00", 0 ,, 0 , 0 ,, 0 , 238.134 , 3.23 , 0 , 0 ,, 0 ,, 0 , 0 ,, 238.866 , 0 ,, 0 
 212175499 ,"10/05/2013 14:50:00", 0 ,, 0 , 0 ,, 0 , 237.279 , 3.219 , 0 , 0 ,, 0 ,, 0 , 0 ,, 238.557 , 0 ,, 0 
 212175499 ,"10/05/2013 15:00:00", 0 ,, 0 ,-353.694 ,, 27.795 , 238.031 , 3.208 , 0 , 0.144 ,, 356.199 ,, 0 , 0 ,, 238.588 , 0 ,, 0 
 212175499 ,"10/05/2013 15:10:00", 0 ,, 0 ,-107.369 ,, 0.099 , 237.505 , 3.263 , 0 , 0.068 ,, 0 ,, 0 , 0 ,, 238.412 , 0 ,, 0 
 212175499 ,"10/05/2013 15:20:00", 0 ,, 0 , 0 ,, 0 , 237.34 , 3.285 , 0 , 0 ,, 0 ,, 0 , 0 ,, 238.608 , 0 ,, 0 
 212175499 ,"10/05/2013 15:30:00", 0 ,, 0 , 0 ,, 0 , 236.011 , 3.241 , 0 , 0 ,, 0 ,, 0 , 0 ,, 238.062 , 0 ,, 0 
 212175499 ,"10/05/2013 15:40:00", 0 ,, 0 , 0 ,, 0 , 237.196 , 3.252 , 0 , 0 ,, 0 ,, 0 , 0 ,, 237.969 , 0 ,, 0 
 212175499 ,"10/05/2013 15:50:00", 0 ,, 0 , 0 ,, 0 , 237.093 , 3.263 , 0 , 0 ,, 0 ,, 0 , 0 ,, 238.299 , 0 ,, 0 
 212175499 ,"10/05/2013 16:00:00", 0 ,, 0 ,-304.014 ,, 1.637 , 236.897 , 3.274 , 0 , 0.11 ,, 275.394 ,, 0 , 0 ,, 237.98 , 0 ,, 0 
 212175499 ,"10/05/2013 16:10:00", 0 ,, 0 , 0 ,, 0 , 236.763 , 3.274 , 0 , 0 ,, 0 ,, 0 , 0 ,, 238.062 , 0 ,, 0 
 212175499 ,"10/05/2013 16:20:00", 0 ,, 0 , 0 ,, 0 , 236.341 , 3.285 , 0 , 0 ,, 0 ,, 0 , 0 ,, 237.65 , 0 ,, 0 
 212175499 ,"10/05/2013 16:30:00", 0 ,, 0 , 0 ,, 0 , 235.733 , 3.274 , 0 , 0 ,, 0 ,, 0 , 0 ,, 237.176 , 0 ,, 0 
 212175499 ,"10/05/2013 16:40:00", 0 ,, 0 , 0 ,, 0 , 236.495 , 3.263 , 0 , 0 ,, 0 ,, 0 , 0 ,, 237.464 , 0 ,, 0 
 212175499 ,"10/05/2013 16:50:00", 0 ,, 0 , 0 ,, 0 , 237.289 , 3.252 , 0 , 0 ,, 0 ,, 0 , 0 ,, 238.103 , 0 ,, 0 
 212175499 ,"10/05/2013 17:00:00", 0 ,, 0 ,-330.568 ,, 2.263 , 237.124 , 3.307 , 0 , 0.132 ,, 337.775 ,, 0 , 0 ,, 238.072 , 0 ,, 0 
 212175499 ,"10/05/2013 17:10:00", 0 ,, 0 ,-149.864 ,, 0.088 , 236.908 , 3.318 , 0 , 0.038 ,, 0 ,, 0 , 0 ,, 237.887 , 0 ,, 0 
