"SerialNo","ReadingDate","Import Wh Total","Q3 Wh Total","Current Main Maximum","Current Main Minimum","Signal Strength","Voltage Main Maximum","Q1 Wh Total","Voltage Total","System Frequency","Q4 Wh Total","Apparant Power Total (VA)","Voltage Main Minimum","Q2 Wh Total","Export Wh Total"
 212175526 ,"24/05/2013 13:30:00", 0 , 0 , 0 , 0.33 , 3.164 , 241.071 , 0 , 0.038 , 62.183 , 0.009 , 0 , 244.122 , 0 , 0 
 212175526 ,"24/05/2013 13:40:00", 0 , 0 , 0 , 0 , 2.67 , 242.123 , 0 , 0 , 0 , 0 , 0 , 244.153 , 0 , 0 
 212175526 ,"24/05/2013 13:50:00", 0 , 0 , 0 , 0 , 2.725 , 240.278 , 0 , 0 , 0 , 0 , 0 , 242.576 , 0 , 0 
 212175526 ,"24/05/2013 14:00:00", 0 , 0 , 0 , 0 , 2.769 , 239.505 , 0 , 0 , 0 , 0 , 0 , 242.288 , 0 , 0 
 212175526 ,"24/05/2013 14:10:00", 0 , 0 ,-53.91 , 0.11 , 2.758 , 238.588 , 0 , 0.079 , 0 , 0 , 0 , 242.061 , 0 , 0 
 212175526 ,"24/05/2013 14:20:00", 0 , 0 , 0 , 0 , 2.758 , 240.896 , 0 , 0 , 0 , 0 , 0 , 242.082 , 0 , 0 
 212175526 ,"24/05/2013 14:30:00", 0 , 0 , 0 , 0 , 2.703 , 239.804 , 0 , 0 , 0 , 0 , 0 , 242.112 , 0 , 0 
 212175526 ,"24/05/2013 14:40:00", 0 , 0 , 0 , 0 , 2.714 , 241.051 , 0 , 0 , 0 , 0 , 0 , 242.607 , 0 , 0 
 212175526 ,"24/05/2013 14:50:00", 0 , 0 , 0 , 0 , 2.703 , 240.031 , 0 , 0 , 0 , 0 , 0 , 242.164 , 0 , 0 
 212175526 ,"24/05/2013 15:00:00", 0 , 0 , 0 , 0 , 2.703 , 240.587 , 0 , 0 , 0 , 0 , 0 , 243.092 , 0 , 0 
 212175526 ,"24/05/2013 15:10:00", 0 , 0 ,-78.695 , 0.099 , 2.725 , 239.835 , 0 , 0.076 , 0 , 0 , 0 , 242.844 , 0 , 0 
 212175526 ,"24/05/2013 15:20:00", 0 , 0 , 0 , 0 , 2.725 , 241.638 , 0 , 0 , 0 , 0 , 0 , 242.989 , 0 , 0 
 212175526 ,"24/05/2013 15:30:00", 0 , 0 ,-236.459 , 0.901 , 2.758 , 240.618 , 0 , 0.06 , 296.301 , 0 , 0 , 242.494 , 0 , 0 
 212175526 ,"24/05/2013 15:40:00", 0 , 0 , 0 , 0 , 2.758 , 238.505 , 0 , 0 , 0 , 0 , 0 , 241.339 , 0 , 0 
 212175526 ,"24/05/2013 15:50:00", 0 , 0 , 0 , 0 , 2.736 , 238.351 , 0 , 0 , 0 , 0 , 0 , 240.762 , 0 , 0 
 212175526 ,"24/05/2013 16:00:00", 0 , 0 , 0 , 0 , 2.78 , 238.701 , 0 , 0 , 0 , 0 , 0 , 241.051 , 0 , 0 
 212175526 ,"24/05/2013 16:10:00", 0 , 0 ,-72.444 , 0.231 , 2.78 , 238.649 , 0 , 0.079 , 19.874 , 0 , 0 , 241.886 , 0 , 0 
 212175526 ,"24/05/2013 16:20:00", 0 , 0 , 0 , 0 , 2.791 , 239.34 , 0 , 0 , 0 , 0 , 0 , 241.298 , 0 , 0 
 212175526 ,"24/05/2013 16:30:00", 0 , 0 , 0 , 0 , 2.813 , 239.34 , 0 , 0 , 0 , 0 , 0 , 240.525 , 0 , 0 
 212175526 ,"24/05/2013 16:40:00", 0 , 0 , 0 , 0 , 2.78 , 239.175 , 0 , 0 , 0 , 0 , 0 , 241.061 , 0 , 0 
 212175526 ,"24/05/2013 16:50:00", 0 , 0 , 0 , 0 , 2.802 , 239.958 , 0 , 0 , 0 , 0 , 0 , 241.484 , 0 , 0 
 212175526 ,"24/05/2013 17:00:00", 0 , 0 , 0 , 0 , 2.78 , 239.051 , 0 , 0 , 0 , 0 , 0 , 241.03 , 0 , 0 
 212175526 ,"24/05/2013 17:10:00", 0 , 0 ,-50.383 , 0.11 , 2.78 , 236.392 , 0 , 0.057 , 0 , 0 , 0 , 240.072 , 0 , 0 
