Date of PQ Monitor Installation,23/01/2014 13:35,=,23/01/2014 13:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of Logging Completion,18/02/2014 16:20,=,18/02/2014 16:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of PQ Monitor Removal,17/03/2014 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logger Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Error at end of Trial,9,seconds,Behind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Logging Time,26.11458333,days =,2256300,seconds,=,Drift Per Second,-0.000003989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logger DateTime,Serial DateTime,Adjusted DateTime,RMS Voltage,RMS Current,PF,Apparent Power,Active Power,Reactive Power,THD Current,THD Voltage,RMS Voltage H1,RMS Voltage H3,RMS Voltage H5,RMS Voltage H7,RMS Voltage H9,RMS Voltage H11,RMS Voltage H13,RMS Voltage H15,RMS Voltage H17,RMS Voltage H19,RMS Voltage H21,RMS Voltage H23,RMS Voltage H25,RMS Voltage H27,RMS Voltage H29,RMS Voltage H31,RMS Voltage H33,RMS Voltage H35,RMS Voltage H37,RMS Voltage H39,RMS Voltage H41,RMS Voltage H43,RMS Voltage H45,RMS Voltage H47,RMS Voltage H49,RMS Current H1,RMS Current H3,RMS Current H5,RMS Current H7,RMS Current H9,RMS Current H11,RMS Current H13,RMS Current H15,RMS Current H17,RMS Current H19,RMS Current H21,RMS Current H23,RMS Current H25,RMS Current H27,RMS Current H29,RMS Current H31,RMS Current H33,RMS Current H35,RMS Current H37,RMS Current H39,RMS Current H41,RMS Current H43,RMS Current H45,RMS Current H47,RMS Current H49,Frequency
,,,Vrms,Arms,,VA,W,Var,%,%,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Hz
23/01/2014 13:40,23/01/2014 13:40,23/01/2014 13:40,243.7,5.3,0.555,1260,1120,-330,25.4,2.2,243.7,1,4.7,2.1,0.7,0.6,0.2,0.3,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,7,0.4,0.4,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95
23/01/2014 13:50,23/01/2014 13:50,23/01/2014 13:50,242.3,10.9,0.975,2620,2590,-370,9.2,2.2,242.2,0.9,4.6,2.1,0.7,0.6,0.2,0.2,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,11.7,0.5,0.4,0.2,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.99
23/01/2014 14:00,23/01/2014 14:00,23/01/2014 14:00,244.2,5,0.943,1220,1150,-390,17.1,2.2,244.1,1.1,4.7,2.2,0.8,0.6,0.2,0.3,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,5.1,0.5,0.4,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.02
23/01/2014 14:10,23/01/2014 14:10,23/01/2014 14:10,243.4,3.9,0.921,930,860,-360,21.3,2.2,243.4,1.2,4.5,2.3,0.8,0.6,0.2,0.3,0,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0,3.8,0.6,0.4,0.3,0.1,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.94
23/01/2014 14:20,23/01/2014 14:20,23/01/2014 14:20,242,4,0.924,940,870,-360,20.6,2.2,241.9,1.2,4.6,2.2,0.9,0.6,0.1,0.3,0,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0,3.9,0.6,0.4,0.4,0.1,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95
23/01/2014 14:30,23/01/2014 14:30,23/01/2014 14:30,242.8,3.9,0.92,920,840,-360,22.3,2.2,242.7,1.1,4.7,2.2,0.9,0.5,0.1,0.4,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0,0,0,0,3.8,0.6,0.4,0.4,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.05
23/01/2014 14:40,23/01/2014 14:40,23/01/2014 14:40,242.3,3.7,0.917,890,810,-350,22.6,2.1,242.3,1.1,4.4,2.2,0.8,0.5,0.1,0.4,0,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0,0,0,0,3.7,0.6,0.3,0.4,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.98
23/01/2014 14:50,23/01/2014 14:50,23/01/2014 14:50,242.3,3.9,0.924,940,870,-360,21.5,2.2,242.3,1.1,4.6,2.2,0.8,0.5,0.1,0.3,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0,0,0,0,3.9,0.6,0.4,0.4,0.1,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.06
23/01/2014 15:00,23/01/2014 15:00,23/01/2014 15:00,243.7,4,0.923,960,880,-370,20.7,2.2,243.7,1.1,4.6,2.3,0.8,0.5,0.1,0.4,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0,3.9,0.6,0.4,0.4,0.1,0,0.1,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.13
