Date of PQ Monitor Installation,23/01/2014 09:40,=,23/01/2014 09:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of Logging Completion,26/02/2014 15:40,=,26/02/2014 15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of PQ Monitor Removal,17/03/2014 14:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logger Type,Ranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Error at end of Trial,420,seconds,Ahead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Logging Time,34.25,days =,2959200,seconds,=,Drift Per Second,0.00014193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logger DateTime,Serial DateTime,Adjusted DateTime,RMS Voltage,RMS Current,PF,Apparent Power,Active Power,Reactive Power,THD Current,THD Voltage,RMS Voltage H1,RMS Voltage H3,RMS Voltage H5,RMS Voltage H7,RMS Voltage H9,RMS Voltage H11,RMS Voltage H13,RMS Voltage H15,RMS Voltage H17,RMS Voltage H19,RMS Voltage H21,RMS Voltage H23,RMS Voltage H25,RMS Voltage H27,RMS Voltage H29,RMS Voltage H31,RMS Voltage H33,RMS Voltage H35,RMS Voltage H37,RMS Voltage H39,RMS Voltage H41,RMS Voltage H43,RMS Voltage H45,RMS Voltage H47,RMS Voltage H49,RMS Current H1,RMS Current H3,RMS Current H5,RMS Current H7,RMS Current H9,RMS Current H11,RMS Current H13,RMS Current H15,RMS Current H17,RMS Current H19,RMS Current H21,RMS Current H23,RMS Current H25,RMS Current H27,RMS Current H29,RMS Current H31,RMS Current H33,RMS Current H35,RMS Current H37,RMS Current H39,RMS Current H41,RMS Current H43,RMS Current H45,RMS Current H47,RMS Current H49,Frequency
,,,Vrms,Arms,,VA,W,Var,%,%,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Hz
23/01/2014 09:40,23/01/2014 09:40,23/01/2014 09:40,243.6,1.6,0.403,380,150,-350,28.4,2.7,243.5,2.2,5.4,2.7,0.9,0.6,0.5,0.9,0.3,0.2,0.3,0.2,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,1.5,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.09
23/01/2014 09:50,23/01/2014 09:50,23/01/2014 09:50,243.5,1.4,0.45,320,140,-290,31.4,2.7,243.4,2,5.4,2.7,0.8,0.6,0.5,1,0.3,0.2,0.2,0.2,0,0.1,0,0,0.1,0,0,0.1,0,0,0,0,0,1.3,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.05
23/01/2014 10:00,23/01/2014 10:00,23/01/2014 10:00,242.8,3.4,0.653,790,640,-390,25.8,2.7,242.7,2.1,5.3,2.6,0.8,0.5,0.5,0.9,0.3,0.2,0.1,0.2,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,3.7,0.6,0.4,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.01
23/01/2014 10:10,23/01/2014 10:10,23/01/2014 10:10,241,8.1,0.916,1940,1850,-480,13,2.6,240.9,2.3,5,2.7,0.7,0.6,0.5,0.8,0.4,0.2,0.1,0.2,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,8.6,0.5,0.5,0.2,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.06
23/01/2014 10:20,23/01/2014 10:20,23/01/2014 10:20,237.8,10.8,0.981,2570,2520,-490,6.6,2.7,237.7,2.4,5.1,2.5,0.7,0.6,0.5,0.6,0.4,0.2,0.1,0.2,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,10.8,0.3,0.5,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.07
23/01/2014 10:30,23/01/2014 10:30,23/01/2014 10:30,237.8,8.4,0.96,1970,1910,-410,13.1,2.6,237.7,2.2,5,2.5,0.9,0.6,0.5,0.8,0.3,0.2,0.1,0.2,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,9,0.5,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.97
23/01/2014 10:40,23/01/2014 10:40,23/01/2014 10:39,239.2,8.5,0.974,2010,1960,-440,9.7,2.7,239,2.1,5.2,2.7,0.8,0.5,0.4,0.8,0.3,0.2,0.1,0.2,0,0.1,0.1,0,0.1,0,0,0.1,0,0,0,0,0,8.5,0.4,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.98
23/01/2014 10:50,23/01/2014 10:50,23/01/2014 10:49,240.5,6.3,0.956,1500,1440,-430,15.1,2.8,240.4,2.3,5.3,2.9,0.8,0.6,0.4,0.9,0.3,0.2,0.1,0.2,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,6.3,0.5,0.6,0.2,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.97
23/01/2014 11:00,23/01/2014 11:00,23/01/2014 10:59,241.4,4.4,0.925,1030,950,-390,23.3,2.7,241.2,2.3,5.3,2.9,0.9,0.4,0.6,0.8,0.2,0.2,0.1,0.2,0,0.1,0,0,0.1,0,0,0.1,0,0,0,0,0,4.2,0.7,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95
