Date of PQ Monitor Installation,23/01/2014 15:00,=,23/01/2014 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of Logging Completion,27/02/2014 15:00,=,27/02/2014 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of PQ Monitor Removal,18/03/2014 11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logger Type,Ranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Error at end of Trial,41,seconds,Behind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Logging Time,35,days =,3024000,seconds,=,Drift Per Second,-0.000013558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logger DateTime,Serial DateTime,Adjusted DateTime,RMS Voltage,RMS Current,PF,Apparent Power,Active Power,Reactive Power,THD Current,THD Voltage,RMS Voltage H1,RMS Voltage H3,RMS Voltage H5,RMS Voltage H7,RMS Voltage H9,RMS Voltage H11,RMS Voltage H13,RMS Voltage H15,RMS Voltage H17,RMS Voltage H19,RMS Voltage H21,RMS Voltage H23,RMS Voltage H25,RMS Voltage H27,RMS Voltage H29,RMS Voltage H31,RMS Voltage H33,RMS Voltage H35,RMS Voltage H37,RMS Voltage H39,RMS Voltage H41,RMS Voltage H43,RMS Voltage H45,RMS Voltage H47,RMS Voltage H49,RMS Current H1,RMS Current H3,RMS Current H5,RMS Current H7,RMS Current H9,RMS Current H11,RMS Current H13,RMS Current H15,RMS Current H17,RMS Current H19,RMS Current H21,RMS Current H23,RMS Current H25,RMS Current H27,RMS Current H29,RMS Current H31,RMS Current H33,RMS Current H35,RMS Current H37,RMS Current H39,RMS Current H41,RMS Current H43,RMS Current H45,RMS Current H47,RMS Current H49,Frequency
,,,Vrms,Arms,,VA,W,Var,%,%,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Hz
23/01/2014 15:00,23/01/2014 15:00,23/01/2014 15:00,232.5,1.99,0.681818182,440,300,-250,39,2.7,232.4,1.3,5.2,2.8,0.6,0.6,0.6,0.7,0.4,0.1,0.3,0.1,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,2.54,0.28,0.3,0.2,0.1,0.09,0.09,0.08,0.07,0.04,0.06,0.04,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,50.04
23/01/2014 15:10,23/01/2014 15:10,23/01/2014 15:10,231.2,5.34,0.951219512,1230,1170,-380,10.3,2.8,231.2,1.3,5.4,2.9,0.6,0.6,0.6,0.8,0.5,0.2,0.3,0.1,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,5.32,0.33,0.37,0.09,0.06,0.03,0.09,0.07,0.08,0.03,0.06,0.02,0.02,0.03,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,50.02
23/01/2014 15:20,23/01/2014 15:20,23/01/2014 15:20,231,5.7,0.954198473,1310,1250,-390,9.5,2.7,230.9,1.3,5.3,2.9,0.6,0.5,0.6,0.7,0.4,0.1,0.3,0.1,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,5.68,0.31,0.38,0.07,0.07,0.03,0.1,0.06,0.06,0.03,0.05,0.03,0.02,0.04,0.03,0.02,0.02,0.04,0.02,0.03,0.01,0.02,0.01,0.01,0.01,50.02
23/01/2014 15:30,23/01/2014 15:30,23/01/2014 15:30,231,6.15,0.957746479,1420,1360,-400,8.4,2.7,230.9,1.3,5.1,3,0.6,0.4,0.6,0.6,0.4,0.1,0.4,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,6.14,0.28,0.37,0.06,0.09,0.02,0.08,0.06,0.04,0.04,0.04,0.04,0.02,0.04,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,50.06
23/01/2014 15:40,23/01/2014 15:40,23/01/2014 15:40,231.4,6.61,0.960784314,1530,1470,-410,7.9,2.7,231.3,1.4,5.1,2.8,0.7,0.5,0.6,0.7,0.4,0.1,0.4,0.1,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,6.59,0.27,0.37,0.05,0.12,0.03,0.07,0.08,0.03,0.06,0.03,0.04,0.02,0.04,0.03,0.03,0.04,0.02,0.04,0.01,0.02,0.01,0.02,0.02,0.02,49.94
23/01/2014 15:50,23/01/2014 15:50,23/01/2014 15:50,230.2,5.71,0.954198473,1310,1250,-390,9.7,2.8,230.2,1.3,5.3,2.9,0.7,0.5,0.8,0.8,0.4,0.2,0.4,0.1,0,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0,0,5.92,0.27,0.34,0.1,0.11,0.05,0.08,0.09,0.04,0.06,0.05,0.03,0.03,0.03,0.04,0.03,0.04,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.01,49.9
23/01/2014 16:00,23/01/2014 16:00,23/01/2014 16:00,232.5,4.76,0.945454545,1100,1040,-370,11.1,2.7,232.5,1.3,5.3,2.9,0.7,0.5,0.6,0.8,0.4,0.1,0.4,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,4.77,0.32,0.34,0.12,0.06,0.04,0.08,0.07,0.06,0.02,0.07,0.02,0.02,0.02,0.04,0.02,0.03,0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.01,49.93
23/01/2014 16:10,23/01/2014 16:10,23/01/2014 16:10,232.1,5.3,0.950819672,1220,1160,-380,10.1,2.7,232,1.3,5.3,2.8,0.6,0.6,0.6,0.7,0.4,0.1,0.3,0.1,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,5.28,0.31,0.37,0.08,0.07,0.04,0.09,0.06,0.07,0.02,0.06,0.01,0.03,0.02,0.04,0.01,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.01,49.95
23/01/2014 16:20,23/01/2014 16:20,23/01/2014 16:20,233.4,5.36,0.944,1250,1180,-390,9.9,2.6,233.3,1.5,5.1,2.7,0.7,0.6,0.5,0.7,0.4,0,0.3,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,5.34,0.32,0.36,0.07,0.08,0.04,0.08,0.06,0.07,0.02,0.06,0.01,0.03,0.02,0.04,0.01,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.01,49.97
