Date of PQ Monitor Installation,09/02/2014 20:00,=,09/02/2014 20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of Logging Completion,19/03/2014 09:20,=,19/03/2014 09:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of PQ Monitor Removal,19/03/2014 09:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logger Type,Enetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Error at end of Trial,20,seconds,Behind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Logging Time,37.55555556,days =,3244800,seconds,=,Drift Per Second,-0.000006164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logger DateTime,Serial DateTime,Adjusted DateTime,RMS Voltage,RMS Current,PF,Apparent Power,Active Power,Reactive Power,THD Current,THD Voltage,RMS Voltage H1,RMS Voltage H3,RMS Voltage H5,RMS Voltage H7,RMS Voltage H9,RMS Voltage H11,RMS Voltage H13,RMS Voltage H15,RMS Voltage H17,RMS Voltage H19,RMS Voltage H21,RMS Voltage H23,RMS Voltage H25,RMS Voltage H27,RMS Voltage H29,RMS Voltage H31,RMS Voltage H33,RMS Voltage H35,RMS Voltage H37,RMS Voltage H39,RMS Voltage H41,RMS Voltage H43,RMS Voltage H45,RMS Voltage H47,RMS Voltage H49,RMS Current H1,RMS Current H3,RMS Current H5,RMS Current H7,RMS Current H9,RMS Current H11,RMS Current H13,RMS Current H15,RMS Current H17,RMS Current H19,RMS Current H21,RMS Current H23,RMS Current H25,RMS Current H27,RMS Current H29,RMS Current H31,RMS Current H33,RMS Current H35,RMS Current H37,RMS Current H39,RMS Current H41,RMS Current H43,RMS Current H45,RMS Current H47,RMS Current H49,Frequency
,,,Vrms,Arms,,VA,W,Var,%,%,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Vrms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Arms,Hz
09/02/2014 20:00,09/02/2014 20:00,09/02/2014 20:00,244.8,32,-0.968,7832,7584,-1808,6.5,1.26,,0.68544,2.0808,1.00368,1.07712,1.3464,0.31824,0.46512,0.17136,0.17136,0.17136,0.2448,0.1224,,,,,,,,,,,,,,1.2,1.12,0.32,0.64,0.24,0.4,0.4,0.24,0.24,0.24,0.4,0.16,,,,,,,,,,,,,49.95
09/02/2014 20:10,09/02/2014 20:10,09/02/2014 20:10,245.44,29.84,-0.964,7320,7056,-1792,6.97,1.28,,0.760864,2.159872,0.98176,1.055392,1.374464,0.294528,0.441792,0.147264,0.220896,0.196352,0.294528,0.171808,,,,,,,,,,,,,,1.28,1.12,0.32,0.64,0.24,0.32,0.32,0.24,0.16,0.24,0.32,0.08,,,,,,,,,,,,,49.97
09/02/2014 20:20,09/02/2014 20:20,09/02/2014 20:20,246.2,24,-0.934,5912,5592,-1664,8.67,1.25,,0.7386,2.0927,0.9848,0.9848,1.3541,0.32006,0.39392,0.07386,0.2462,0.2462,0.34468,0.14772,,,,,,,,,,,,,,1.36,0.88,0.4,0.4,0.4,0.32,0.32,0.24,0.24,0.24,0.32,0.16,,,,,,,,,,,,,49.95
09/02/2014 20:30,09/02/2014 20:30,09/02/2014 20:30,245.76,25.44,-0.952,6256,5960,-1728,8.49,1.33,,0.835584,2.260992,1.056768,0.98304,1.425408,0.24576,0.393216,0.073728,0.294912,0.221184,0.417792,0.172032,,,,,,,,,,,,,,1.44,1.2,0.32,0.4,0.4,0.24,0.16,0.16,0.16,0.24,0.24,0.24,,,,,,,,,,,,,49.94
09/02/2014 20:40,09/02/2014 20:40,09/02/2014 20:40,245.98,25.36,-0.952,6232,5936,-1720,8.52,1.39,,0.959322,2.287614,1.2299,0.959322,1.426684,0.270578,0.442764,0.12299,0.270578,0.147588,0.418166,0.147588,,,,,,,,,,,,,,1.44,1.2,0.24,0.4,0.4,0.24,0.16,0.24,0.16,0.24,0.24,0.16,,,,,,,,,,,,,49.91
09/02/2014 20:50,09/02/2014 20:50,09/02/2014 20:50,244.68,21.44,-0.939,5240,4920,-1624,10.07,1.37,,0.85638,2.104248,1.296804,1.003188,1.614888,0.293616,0.538296,0.073404,0.293616,0.220212,0.440424,0.146808,,,,,,,,,,,,,,1.52,1.04,0.32,0.24,0.56,0.08,0.24,0.16,0.24,0.16,0.4,0.16,,,,,,,,,,,,,49.97
09/02/2014 21:00,09/02/2014 21:00,09/02/2014 21:00,244.64,20.72,-0.937,5080,4752,-1616,10.04,1.32,,0.758384,2.030512,1.247664,0.97856,1.516768,0.318032,0.48928,0.073392,0.269104,0.220176,0.415888,0.146784,,,,,,,,,,,,,,1.52,1.04,0.32,0.24,0.56,0.16,0.24,0.16,0.24,0.16,0.4,0.16,,,,,,,,,,,,,50.07
09/02/2014 21:10,09/02/2014 21:10,09/02/2014 21:10,244.74,20.88,-0.937,5112,4792,-1616,10.34,1.3,,0.709746,2.055816,1.174752,0.954486,1.541862,0.416058,0.48948,0.097896,0.269214,0.171318,0.416058,0.073422,,,,,,,,,,,,,,1.52,0.96,0.32,0.16,0.56,0.16,0.24,0.16,0.24,0.16,0.4,0.16,,,,,,,,,,,,,50
09/02/2014 21:20,09/02/2014 21:20,09/02/2014 21:20,245.06,18.08,-0.823,4440,4000,-1528,9.73,1.33,,0.784192,2.132022,1.151782,0.955734,1.543878,0.441108,0.465614,0.171542,0.294072,0.147036,0.465614,0.098024,,,,,,,,,,,,,,1.12,0.8,0.24,0.24,0.48,0.16,0.16,0.16,0.24,0.16,0.32,0.16,,,,,,,,,,,,,50.02
